,moodle_points,classification
0,1.0,3
1,1.0,0
2,1.0,3
3,0.5,1
4,0.5,1
5,1.0,3
6,1.0,3
7,1.0,3
8,1.0,3
9,0.0,2
10,0.5,1
11,1.0,3
12,0.0,Parsing Error
13,1.0,3
14,1.0,3
15,0.0,0
16,1.0,3
17,0.5,2
18,1.0,Parsing Error
19,1.0,3
20,0.5,2
21,1.0,3
22,1.0,3
23,1.0,3
24,1.0,3
25,1.0,3
26,1.0,3
27,0.5,2
28,1.0,3
29,1.0,3
30,1.0,3
31,1.0,3
32,0.5,0
33,1.0,3
34,0.0,2
35,0.0,2
36,1.0,3
37,0.5,2
38,0.5,3
39,1.0,3
40,0.0,2
41,1.0,3
42,1.0,3
43,0.0,2
44,1.0,3
45,0.0,1
46,0.0,2
47,1.0,3
48,0.5,2
49,1.0,3
50,0.5,2
51,1.0,3
52,1.0,3
53,1.0,3
54,0.5,0
55,1.0,3
56,1.0,3
57,1.0,3
58,1.0,3
59,1.0,3
60,0.5,2
61,0.5,2
62,1.0,3
63,1.0,3
64,0.0,2
65,1.0,3
66,1.0,3
67,0.5,1
68,0.5,2
69,1.0,3
70,1.0,3
71,1.0,3
72,1.0,3
73,0.0,Parsing Error
74,1.0,2
75,1.0,3
76,0.5,0
77,0.0,1
78,0.0,2
79,1.0,3
80,1.0,3
81,1.0,3
82,0.0,2
83,1.0,3
84,0.5,2
85,1.0,3
86,0.0,1
87,1.0,3
88,0.5,2
89,1.0,3
90,0.5,2
91,1.0,3
92,1.0,3
93,1.0,3
94,1.0,3
95,1.0,3
96,1.0,3
97,1.0,3
98,0.5,2
99,1.0,3
100,1.0,Parsing Error
101,0.5,2
102,0.5,Parsing Error
103,0.5,Parsing Error
104,0.5,2
105,0.5,1
106,0.5,1
107,0.5,2
108,0.0,2
109,1.0,3
110,0.5,2
111,1.0,3
112,1.0,3
113,0.0,2
114,1.0,3
115,1.0,3
116,0.5,2
117,1.0,3
118,1.0,3
119,0.5,2
120,0.0,1
121,0.0,2
122,0.5,2
123,1.0,3
124,0.0,2
125,0.0,0
126,1.0,3
127,1.0,3
128,0.5,Parsing Error
129,1.0,3
130,1.0,3
131,1.0,3
132,0.5,2
133,1.0,3
134,0.0,1
135,1.0,3
136,0.0,0
137,0.5,0
138,0.5,2
139,0.0,0
140,0.0,Parsing Error
141,1.0,3
142,1.0,3
143,1.0,3
144,0.5,1
145,0.5,Parsing Error
146,0.0,0
147,0.0,0
148,1.0,3
149,1.0,3
150,1.0,3
151,1.0,3
152,0.5,2
153,1.0,3
154,1.0,Parsing Error
155,1.0,3
156,0.5,2
157,0.5,1
158,1.0,3
159,0.0,1
160,0.5,0
