moodle_points,classification
1.0,3
1.0,0
1.0,3
0.5,1
0.5,1
1.0,3
1.0,3
1.0,3
1.0,3
0.0,2
0.5,1
1.0,3
0.0,Parsing Error
1.0,3
1.0,3
0.0,0
1.0,3
0.5,2
1.0,Parsing Error
1.0,3
0.5,2
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
0.5,2
1.0,3
1.0,3
1.0,3
1.0,3
0.5,0
1.0,3
0.0,2
0.0,2
1.0,3
0.5,2
0.5,3
1.0,3
0.0,2
1.0,3
1.0,3
0.0,2
1.0,3
0.0,1
0.0,2
1.0,3
0.5,2
1.0,3
0.5,2
1.0,3
1.0,3
1.0,3
0.5,0
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
0.5,2
0.5,2
1.0,3
1.0,3
0.0,2
1.0,3
1.0,3
0.5,1
0.5,2
1.0,3
1.0,3
1.0,3
1.0,3
0.0,Parsing Error
1.0,2
1.0,3
0.5,0
0.0,1
0.0,2
1.0,3
1.0,3
1.0,3
0.0,2
1.0,3
0.5,2
1.0,3
0.0,1
1.0,3
0.5,2
1.0,3
0.5,2
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
0.5,2
1.0,3
1.0,Parsing Error
0.5,2
0.5,Parsing Error
0.5,Parsing Error
0.5,2
0.5,1
0.5,1
0.5,2
0.0,2
1.0,3
0.5,2
1.0,3
1.0,3
0.0,2
1.0,3
1.0,3
0.5,2
1.0,3
1.0,3
0.5,2
0.0,1
0.0,2
0.5,2
1.0,3
0.0,2
0.0,0
1.0,3
1.0,3
0.5,Parsing Error
1.0,3
1.0,3
1.0,3
0.5,2
1.0,3
0.0,1
1.0,3
0.0,0
0.5,0
0.5,2
0.0,0
0.0,Parsing Error
1.0,3
1.0,3
1.0,3
0.5,1
0.5,Parsing Error
0.0,0
0.0,0
1.0,3
1.0,3
1.0,3
1.0,3
0.5,2
1.0,3
1.0,Parsing Error
1.0,3
0.5,2
0.5,1
1.0,3
0.0,1
0.5,0
